Query,Category 1,Top Result 1,Category 2,Top Result 2
Where was the World Cup held in 2018?,Results for queries with inner product similarity WITHOUT normalization:,"('The 2018 World Cup was held in Russia.', 7.097192764282227)",Results for queries with l2 similarity:,"('The 2018 World Cup was held in Russia.', 3.0699522495269775)"
Where was the World Cup held in 2018?,Results for queries with inner product similarity WITH normalization:,"('The 2018 World Cup was held in Russia.', 7.097192764282227)",Results for queries with l2 similarity:,"('The 2018 World Cup was held in Russia.', 3.0699522495269775)"
What should I eat at the French restaurant?,Results for queries with inner product similarity WITHOUT normalization:,"('Alice told me that coq au vin is a popular French dish.', 4.3715009689331055)",Results for queries with l2 similarity:,"('Alice told me that coq au vin is a popular French dish.', 9.317337036132812)"
What should I eat at the French restaurant?,Results for queries with inner product similarity WITH normalization:,"('Alice told me that coq au vin is a popular French dish.', 4.3715009689331055)",Results for queries with l2 similarity:,"('Alice told me that coq au vin is a popular French dish.', 9.317337036132812)"
What product should I sell in my electronics store?,Results for queries with inner product similarity WITHOUT normalization:,"('Mallory told me that Smartwatches are selling like hotcakes.', 2.959596633911133)",Results for queries with l2 similarity:,"('Mallory told me that Smartwatches are selling like hotcakes.', 11.947832107543945)"
What product should I sell in my electronics store?,Results for queries with inner product similarity WITH normalization:,"('Mallory told me that Smartwatches are selling like hotcakes.', 2.959596633911133)",Results for queries with l2 similarity:,"('Mallory told me that Smartwatches are selling like hotcakes.', 11.947832107543945)"
I think someone is planning a surprise party,Results for queries with inner product similarity WITHOUT normalization:,"('John Doe is planning a surprise party.', 5.606271743774414)",Results for queries with l2 similarity:,"('John Doe is planning a surprise party.', 5.033926010131836)"
I think someone is planning a surprise party,Results for queries with inner product similarity WITH normalization:,"('John Doe is planning a surprise party.', 5.606271743774414)",Results for queries with l2 similarity:,"('John Doe is planning a surprise party.', 5.033926010131836)"
"I am a farmer, what crop should I grow to make the most profit?",Results for queries with inner product similarity WITHOUT normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.244410037994385)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.872882843017578)"
"I am a farmer, what crop should I grow to make the most profit?",Results for queries with inner product similarity WITH normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.244410037994385)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.872882843017578)"
Who is learning to play the guitar?,Results for queries with inner product similarity WITHOUT normalization:,"('I am learning to play the guitar.', 6.1333513259887695)",Results for queries with l2 similarity:,"('I am learning to play the guitar.', 6.384491920471191)"
Who is learning to play the guitar?,Results for queries with inner product similarity WITH normalization:,"('I am learning to play the guitar.', 6.1333513259887695)",Results for queries with l2 similarity:,"('I am learning to play the guitar.', 6.384491920471191)"
I need to think of a popular tourist attraction,Results for queries with inner product similarity WITHOUT normalization:,"('The Great Wall of China is a historic site.', 4.347240924835205)",Results for queries with l2 similarity:,"('The Eiffel Tower is a popular tourist attraction.', 9.809797286987305)"
I need to think of a popular tourist attraction,Results for queries with inner product similarity WITH normalization:,"('The Great Wall of China is a historic site.', 4.347240924835205)",Results for queries with l2 similarity:,"('The Eiffel Tower is a popular tourist attraction.', 9.809797286987305)"
When will the 2022 Winter Olympics be held?,Results for queries with inner product similarity WITHOUT normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 7.260375499725342)",Results for queries with l2 similarity:,"('The 2022 Winter Olympics will be held in Beijing.', 3.5466787815093994)"
When will the 2022 Winter Olympics be held?,Results for queries with inner product similarity WITH normalization:,"('The 2022 Winter Olympics will be held in Beijing.', 7.260375499725342)",Results for queries with l2 similarity:,"('The 2022 Winter Olympics will be held in Beijing.', 3.5466787815093994)"
What book should I read?,Results for queries with inner product similarity WITHOUT normalization:,"('Eve told me that Digital Fortress is a popular book.', 3.2957112789154053)",Results for queries with l2 similarity:,"('Eve told me that Digital Fortress is a popular book.', 9.961336135864258)"
What book should I read?,Results for queries with inner product similarity WITH normalization:,"('Eve told me that Digital Fortress is a popular book.', 3.2957112789154053)",Results for queries with l2 similarity:,"('Eve told me that Digital Fortress is a popular book.', 9.961336135864258)"
What is the current state of the ebola outbreak?,Results for queries with inner product similarity WITHOUT normalization:,"('Linda told me that ebola is spreading.', 5.1613969802856445)",Results for queries with l2 similarity:,"('Linda told me that ebola is spreading.', 6.5302276611328125)"
What is the current state of the ebola outbreak?,Results for queries with inner product similarity WITH normalization:,"('Linda told me that ebola is spreading.', 5.1613969802856445)",Results for queries with l2 similarity:,"('Linda told me that ebola is spreading.', 6.5302276611328125)"
"As a farmer, what crop would be make the most money?",Results for queries with inner product similarity WITHOUT normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.3430962562561035)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.741901397705078)"
"As a farmer, what crop would be make the most money?",Results for queries with inner product similarity WITH normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.3430962562561035)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.741901397705078)"
I think someone is studying for a Chemistry test,Results for queries with inner product similarity WITHOUT normalization:,"('I am studying for a Chemistry test', 4.671965599060059)",Results for queries with l2 similarity:,"('Maria Lopez is studying for a Chemistry test while drinking coffee.', 8.151708602905273)"
I think someone is studying for a Chemistry test,Results for queries with inner product similarity WITH normalization:,"('I am studying for a Chemistry test', 4.671965599060059)",Results for queries with l2 similarity:,"('Maria Lopez is studying for a Chemistry test while drinking coffee.', 8.151708602905273)"
I am planning a trip to Europe,Results for queries with inner product similarity WITHOUT normalization:,"('I am planning a trip to Europe in June.', 8.876060485839844)",Results for queries with l2 similarity:,"('I am planning a trip to Europe in June.', 1.7988780736923218)"
I am planning a trip to Europe,Results for queries with inner product similarity WITH normalization:,"('I am planning a trip to Europe in June.', 8.876060485839844)",Results for queries with l2 similarity:,"('I am planning a trip to Europe in June.', 1.7988780736923218)"
What bar should I avoid?,Results for queries with inner product similarity WITHOUT normalization:,"('Jimmy had said that the bar the Bunker has poor service.', 3.2970523834228516)",Results for queries with l2 similarity:,"('Jimmy had said that the bar the Bunker has poor service.', 9.379093170166016)"
What bar should I avoid?,Results for queries with inner product similarity WITH normalization:,"('Jimmy had said that the bar the Bunker has poor service.', 3.2970523834228516)",Results for queries with l2 similarity:,"('Jimmy had said that the bar the Bunker has poor service.', 9.379093170166016)"
What is the future of transportation?,Results for queries with inner product similarity WITHOUT normalization:,"('Kevin told me that the electric car is the future.', 4.069382190704346)",Results for queries with l2 similarity:,"('Kevin told me that the electric car is the future.', 9.016255378723145)"
What is the future of transportation?,Results for queries with inner product similarity WITH normalization:,"('Kevin told me that the electric car is the future.', 4.069382190704346)",Results for queries with l2 similarity:,"('Kevin told me that the electric car is the future.', 9.016255378723145)"
Where should I go for a night out to have drinks and meet someone?,Results for queries with inner product similarity WITHOUT normalization:,"('Jimmy had said that the bar the Bunker has poor service.', 2.3686683177948)",Results for queries with l2 similarity:,"('Jack told me that the Rabbit Hole is a popular nightclub.', 13.201385498046875)"
Where should I go for a night out to have drinks and meet someone?,Results for queries with inner product similarity WITH normalization:,"('Jimmy had said that the bar the Bunker has poor service.', 2.3686683177948)",Results for queries with l2 similarity:,"('Jack told me that the Rabbit Hole is a popular nightclub.', 13.201385498046875)"
What fashion accessory should I wear to the party?,Results for queries with inner product similarity WITHOUT normalization:,"('John Doe is planning a surprise party.', 3.021836757659912)",Results for queries with l2 similarity:,"('John Doe is planning a surprise party.', 12.375846862792969)"
What fashion accessory should I wear to the party?,Results for queries with inner product similarity WITH normalization:,"('John Doe is planning a surprise party.', 3.021836757659912)",Results for queries with l2 similarity:,"('John Doe is planning a surprise party.', 12.375846862792969)"
What farm vegetable is selling the most these days?,Results for queries with inner product similarity WITHOUT normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.521890640258789)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.566949844360352)"
What farm vegetable is selling the most these days?,Results for queries with inner product similarity WITH normalization:,"('Oliver told me that ginger root crop has the highest profit margin.', 5.521890640258789)",Results for queries with l2 similarity:,"('Oliver told me that ginger root crop has the highest profit margin.', 8.566949844360352)"
Is the new iPhone worth buying?,Results for queries with inner product similarity WITHOUT normalization:,"('Charlie told me that the new iPhone is not worth the price.', 5.122569561004639)",Results for queries with l2 similarity:,"('Charlie told me that the new iPhone is not worth the price.', 8.31003475189209)"
Is the new iPhone worth buying?,Results for queries with inner product similarity WITH normalization:,"('Charlie told me that the new iPhone is not worth the price.', 5.122569561004639)",Results for queries with l2 similarity:,"('Charlie told me that the new iPhone is not worth the price.', 8.31003475189209)"
